75;Nouvelle-Aquitaine;33;26029
27;Bourgogne-Franche-Comté;25;26015
76;Occitanie;31;25961
11;Île-de-France;78;25829
32;Hauts-de-France;62;25753
76;Occitanie;12;25747
44;Grand Est;52;25666
93;Provence-Alpes-Côte d'Azur;83;25645
75;Nouvelle-Aquitaine;64;25518
11;Île-de-France;95;25514
75;Nouvelle-Aquitaine;33;25491
11;Île-de-France;94;25422
32;Hauts-de-France;59;25373
11;Île-de-France;91;25031
